age,sex,chest_pain_type,resting_blood_pressure,cholesterol,fasting_blood_sugar,rest_ecg,max_heart_rate_achieved,exercise_induced_angina,st_depression,st_slope,num_major_vessels,thalassemia,target,state,address,city,postalCode,name,ssn,pregnant,diabetic,asthmatic,observation,smoker
63,1,3,145,233,1,0,150,0,2.3,0,0,1,1,DC,1745 T Street Southeast,Washington,20020,Daiki Matsumoto,809-26-4392,0,0,0,Daiki Matsumoto from Washington. Last visit on 01/15/2020,1
37,1,2,130,250,0,1,187,0,3.5,0,0,2,1,KY,6007 Applegate Lane,Louisville,40219,Ieva Barkute,762-18-9321,0,0,1,Ieva Barkute from Louisville. Last visit on 09/16/2020,0
41,0,1,130,204,0,0,172,0,1.4,2,0,2,1,CA,560 Penstock Drive,Grass Valley,95945,Ni Kang,620-90-6959,0,0,0,Ni Kang from Grass Valley. Last visit on 04/05/2018,0
56,1,1,120,236,0,1,178,0,0.8,2,0,2,1,CT,150 Carter Street,Manchester,06040,Borbala Fekete,337-83-5314,0,0,0,Borbala Fekete from Manchester. Last visit on 04/01/2019,0
57,0,0,120,354,0,1,163,1,0.6,2,0,2,1,KY,2721 Lindsay Avenue,Louisville,40206,Takuma Hayashi,516-20-3479,1,1,0,Takuma Hayashi from Louisville. Last visit on 11/12/2019,0
57,1,0,140,192,0,1,148,0,0.4,1,0,1,1,VT,18 Densmore Drive,Essex,05452,Gabriel Nastase,812-89-1408,0,1,1,Gabriel Nastase from Essex. Last visit on 08/15/2020,0
56,0,1,140,294,0,0,153,0,1.3,1,0,2,1,CA,637 Britannia Drive,Vallejo,94591,Nur Liyana,551-75-9824,0,0,0,Nur Liyana from Vallejo. Last visit on 04/02/2020,0
44,1,1,120,263,0,1,173,0,0.0,2,0,3,1,AZ,5601 West Crocus Drive,Glendale,85306,Mariña Quintá,240-17-4079,0,0,0,Mariña Quintá from Glendale. Last visit on 01/17/2018,0
52,1,2,172,199,1,1,162,0,0.5,2,0,3,1,TN,5403 Illinois Avenue,Nashville,37209,Sara Folgueroles,389-75-8162,0,0,1,Sara Folgueroles from Nashville. Last visit on 03/09/2019,0
57,1,2,150,168,0,1,174,0,1.6,2,0,2,1,AZ,8821 West Myrtle Avenue,Glendale,85305,Sofie Carlsson,140-29-3383,0,0,0,Sofie Carlsson from Glendale. Last visit on 10/11/2018,0
54,1,0,140,239,0,1,160,0,1.2,2,0,2,1,KY,2203 7th Street Road,Louisville,40208,Ulfa Azzahra,613-25-2464,0,1,0,Ulfa Azzahra from Louisville. Last visit on 07/22/2018,0
48,0,2,130,275,0,1,139,0,0.2,2,0,2,1,CO,6463 Vrain Street,Arvada,80003,Imelda Pagnotto,681-33-3348,1,0,0,Imelda Pagnotto from Arvada. Last visit on 04/10/2020,1
49,1,1,130,266,0,1,171,0,0.6,2,0,2,1,VT,87 Horseshoe Drive,West Windsor,05037,Zdenka Kozakova,410-57-8819,0,1,0,Zdenka Kozakova from West Windsor. Last visit on 08/15/2020,0
64,1,3,110,211,0,0,144,1,1.8,1,0,2,1,CT,60 Desousa Drive,Manchester,06040,Gerard Belisle,950-18-7103,0,0,0,Gerard Belisle from Manchester. Last visit on 03/12/2018,0
58,0,3,150,283,1,0,162,0,1.0,2,0,2,1,MA,4 Old Colony Way,Yarmouth,02664,Claude Aupry,299-63-9911,0,0,0,Claude Aupry from Yarmouth. Last visit on 12/22/2019,0
50,0,2,120,219,0,1,158,0,1.6,1,0,2,1,TN,314 South 17th Street,Nashville,37206,Ozlem Kurt,852-97-1145,0,0,1,Ozlem Kurt from Nashville. Last visit on 02/04/2018,0
58,0,2,120,340,0,1,172,0,0.0,2,0,2,1,AR,1649 Timberridge Court,Fayetteville,72704,Ali Yilmaz,688-32-6065,0,0,0,Ali Yilmaz from Fayetteville. Last visit on 02/25/2018,0
66,0,3,150,226,0,1,114,0,2.6,0,0,2,1,AL,5461 West Shades Valley Drive,Montgomery,36108,Agnes Fulop,721-41-6861,1,1,0,Agnes Fulop from Montgomery. Last visit on 05/23/2018,0
43,1,0,150,247,0,1,171,0,1.5,2,0,2,1,TN,629 Debbie Drive,Nashville,37076,Claudia Mazzanti,416-92-7774,0,0,0,Claudia Mazzanti from Nashville. Last visit on 07/04/2020,0
69,0,3,140,239,0,1,151,0,1.8,2,2,2,1,CA,22572 Toreador Drive,Salinas,93908,Emil Moldovan,117-12-4049,0,0,0,Emil Moldovan from Salinas. Last visit on 09/16/2019,0
59,1,0,135,234,0,1,161,0,0.5,1,0,3,1,AR,3034 Mica Street,Fayetteville,72704,Hieu Lai,950-81-2660,0,0,0,Hieu Lai from Fayetteville. Last visit on 03/13/2020,1
44,1,2,130,233,0,1,179,1,0.4,2,0,2,1,AR,3729 East Mission Boulevard,Fayetteville,72703,Antra Abola,433-66-6341,0,0,0,Antra Abola from Fayetteville. Last visit on 04/22/2019,0
42,1,0,140,226,0,1,178,0,0.0,2,0,2,1,TN,5114 Greentree Drive,Nashville,37211,Luka Zupan,198-63-3983,0,0,0,Luka Zupan from Nashville. Last visit on 03/27/2018,1
61,1,2,150,243,1,1,137,1,1.0,1,0,2,1,AL,3466 Southview Avenue,Montgomery,36111,Friedrich Knerich,644-69-3859,0,1,0,Friedrich Knerich from Montgomery. Last visit on 02/11/2018,0
40,1,3,140,199,0,1,178,1,1.4,2,0,3,1,GA,1513 Cathy Street,Savannah,31415,Soo-bin Gwon,116-88-6060,0,0,0,Soo-bin Gwon from Savannah. Last visit on 12/21/2020,0
71,0,1,160,302,0,1,162,0,0.4,2,2,2,1,AK,600 West 19th Avenue,Anchorage,99503,Jin-min Seong,628-21-5024,1,0,0,Jin-min Seong from Anchorage. Last visit on 06/04/2020,1
59,1,2,150,212,1,1,157,0,1.6,2,0,2,1,TN,1208 Elkader Court North,Nashville,37013,Anders Nygaard,611-92-4775,0,0,0,Anders Nygaard from Nashville. Last visit on 09/24/2020,0
51,1,2,110,175,0,1,123,0,0.6,2,0,2,1,CT,210 Green Road,Manchester,06042,Kelly Tan,960-24-4290,0,0,1,Kelly Tan from Manchester. Last visit on 05/01/2018,0
65,0,2,140,417,1,0,157,0,0.8,2,1,2,1,CA,49548 Road 200,O'Neals,93645,Branimira Taseva,801-69-5195,0,1,0,Branimira Taseva from O'Neals. Last visit on 11/20/2020,0
